setting_label,seed,optimizer_label,variant_label,selected_epoch,val_acc,corr_noisy,corr_clean,train_clean
Asym. 20\%,0,\adamw{},Baseline,18,0.5892,0.387,0.4514,0.821425
Asym. 20\%,0,\adamw{},\method{},16,0.6091,0.2482,0.5544,0.781125
Asym. 20\%,0,\adamw{},Cosine,197,0.6011,0.9997,0.0001,0.99975
Asym. 20\%,0,\adamw{},Cosine + \method{},18,0.6111,0.2133,0.5807,0.778925
Asym. 20\%,0,\sgdm{},Baseline,18,0.5839,0.2463,0.5333,0.761075
Asym. 20\%,0,\sgdm{},\method{},25,0.6241,0.3076,0.5343,0.824475
Asym. 20\%,0,\sgdm{},Cosine,195,0.6215,0.9995,0.0001,0.999825
Asym. 20\%,0,\sgdm{},Cosine + \method{},188,0.6226,0.9995,0.0002,0.99975
Asym. 20\%,1,\adamw{},Baseline,19,0.5833,0.4186,0.4323,0.83565
Asym. 20\%,1,\adamw{},\method{},16,0.6117,0.1934,0.593,0.76505
Asym. 20\%,1,\adamw{},Cosine,170,0.6,0.9996,0.0002,0.999825
Asym. 20\%,1,\adamw{},Cosine + \method{},16,0.6198,0.1947,0.6055,0.78185
Asym. 20\%,1,\sgdm{},Baseline,17,0.5619,0.2282,0.5184,0.71305
Asym. 20\%,1,\sgdm{},\method{},17,0.6247,0.2016,0.5903,0.77305
Asym. 20\%,1,\sgdm{},Cosine,182,0.63,0.9992,0.0006,0.9998
Asym. 20\%,1,\sgdm{},Cosine + \method{},193,0.6159,0.9993,0.0005,0.999775
Asym. 20\%,2,\adamw{},Baseline,18,0.5804,0.4145,0.4254,0.820725
Asym. 20\%,2,\adamw{},\method{},18,0.6173,0.2963,0.5363,0.81705
Asym. 20\%,2,\adamw{},Cosine,192,0.6117,0.9995,0.0001,0.999825
Asym. 20\%,2,\adamw{},Cosine + \method{},17,0.6274,0.2069,0.6001,0.790425
Asym. 20\%,2,\sgdm{},Baseline,18,0.5741,0.2402,0.5259,0.744375
Asym. 20\%,2,\sgdm{},\method{},23,0.6257,0.2792,0.552,0.81905
Asym. 20\%,2,\sgdm{},Cosine,186,0.6326,0.9994,0.0002,0.9998
Asym. 20\%,2,\sgdm{},Cosine + \method{},21,0.6304,0.32,0.5373,0.8493
Asym. 20\%,3,\adamw{},Baseline,17,0.5819,0.351,0.4674,0.79725
Asym. 20\%,3,\adamw{},\method{},17,0.6258,0.2829,0.552,0.8224
Asym. 20\%,3,\adamw{},Cosine,186,0.5979,0.9998,0.0002,0.9998
Asym. 20\%,3,\adamw{},Cosine + \method{},19,0.6308,0.2352,0.5851,0.816375
Asym. 20\%,3,\sgdm{},Baseline,25,0.5782,0.397,0.4217,0.805675
Asym. 20\%,3,\sgdm{},\method{},20,0.63,0.2271,0.5889,0.79875
Asym. 20\%,3,\sgdm{},Cosine,200,0.6382,0.9998,0.0002,0.999775
Asym. 20\%,3,\sgdm{},Cosine + \method{},20,0.6239,0.2944,0.558,0.849125
Asym. 20\%,4,\adamw{},Baseline,15,0.5875,0.2773,0.5154,0.771225
Asym. 20\%,4,\adamw{},\method{},22,0.6205,0.4268,0.4543,0.8707
Asym. 20\%,4,\adamw{},Cosine,190,0.6065,0.9995,0.0002,0.9998
Asym. 20\%,4,\adamw{},Cosine + \method{},24,0.6224,0.3816,0.4945,0.869025
Asym. 20\%,4,\sgdm{},Baseline,23,0.5663,0.3542,0.4543,0.774375
Asym. 20\%,4,\sgdm{},\method{},29,0.6224,0.3416,0.5173,0.847475
Asym. 20\%,4,\sgdm{},Cosine,187,0.6212,0.9994,0.0004,0.999725
Asym. 20\%,4,\sgdm{},Cosine + \method{},24,0.6237,0.4245,0.473,0.888475
Sym. 40\%,0,\adamw{},Baseline,16,0.5213,0.03505,0.48555,0.7170666666666666
Sym. 40\%,0,\adamw{},\method{},17,0.5396,0.02295,0.52655,0.7122666666666667
Sym. 40\%,0,\adamw{},Cosine,15,0.5322,0.0172,0.53005,0.6850666666666667
Sym. 40\%,0,\adamw{},Cosine + \method{},20,0.5372,0.0233,0.5221,0.7024666666666667
Sym. 40\%,0,\sgdm{},Baseline,22,0.4959,0.0393,0.45405,0.6879666666666666
