task,optimizer,method,n,best_val_mean,best_val_std,final_val_mean,final_val_std,drop_val_mean,drop_val_std,peak_epoch_mean,peak_epoch_std
asym20,AdamW,Baseline,5,0.58446,0.0037447296297596524,0.5625,0.008146778504415104,0.021960000000000025,0.010397740139087902,17.4,1.51657508881031
asym20,AdamW,Fixed 0.5,5,0.57942,0.004264035647130519,0.56464,0.005639858154244663,0.014780000000000038,0.004797603568449573,18.0,1.224744871391589
asym20,AdamW,Fixed 1.0,5,0.58446,0.0037447296297596524,0.5625,0.008146778504415104,0.021960000000000025,0.010397740139087902,17.4,1.51657508881031
asym20,AdamW,Fixed 2.0,5,0.56082,0.006557209772456581,0.54694,0.006753739704785764,0.013879999999999981,0.005194901346512702,81.8,93.7533999383489
asym20,AdamW,AEES,5,0.61688,0.006712078664616516,0.57966,0.008643668202794465,0.03722000000000001,0.0039002564018279437,17.8,2.4899799195977463
asym20,AdamW,Cosine,5,0.60224,0.0063445251989412196,0.6003999999999999,0.006510376333208375,0.0018400000000000194,0.00088769364084686,187.0,10.295630140987
asym20,AdamW,Cosine + AEES,5,0.62146,0.0059777085910907276,0.59842,0.0028234730386529046,0.023040000000000015,0.007253481922497608,18.8,3.1144823004794873
asym20,SGD,Baseline,5,0.5728800000000001,0.008875359147662711,0.51944,0.015781254702969615,0.05344000000000002,0.012817097955465572,20.2,3.5637059362410923
asym20,SGD,Fixed 0.5,5,0.57468,0.006094423680710083,0.53294,0.0068207770818287305,0.04174000000000002,0.007878324695009715,20.4,3.7815340802378072
asym20,SGD,Fixed 1.0,5,0.5728800000000001,0.008875359147662711,0.51944,0.015781254702969615,0.05344000000000002,0.012817097955465572,20.2,3.5637059362410923
asym20,SGD,Fixed 2.0,5,0.55616,0.006406090851681696,0.51362,0.02067841870163189,0.04254000000000002,0.022797434066139974,25.6,6.6558245169174945
asym20,SGD,AEES,5,0.62538,0.002847279403219867,0.58356,0.012156191837907114,0.04182000000000001,0.009624292181765842,22.8,4.604345773288535
asym20,SGD,Cosine,5,0.63256,0.003743394181755383,0.63104,0.004304997096398564,0.001519999999999988,0.001143241006962221,190.0,7.314369419163897
asym20,SGD,Cosine + AEES,5,0.627,0.005780570906061102,0.62462,0.005407124929202225,0.0023800000000000045,0.0011562871615649793,89.2,92.50243240045096
sym20,AdamW,Baseline,5,0.58594,0.004602499321021136,0.54116,0.006957226458869928,0.04478000000000002,0.006053676568829842,16.8,0.8366600265340756
sym20,AdamW,Fixed 0.5,5,0.58796,0.004634975728091765,0.54364,0.005876903946807363,0.044320000000000026,0.005889142552188707,18.4,1.949358868961793
sym20,AdamW,Fixed 1.0,5,0.58594,0.004602499321021136,0.54116,0.006957226458869928,0.04478000000000002,0.006053676568829842,16.8,0.8366600265340756
