task,optimizer,config,label,n,wall_minutes_mean,wall_minutes_std,sec_per_epoch_mean,sec_per_epoch_std,sec_per_step_mean,sec_per_step_std,steps_per_second_mean,steps_per_second_std,tflops_per_second_mean,tflops_per_second_std,overhead_vs_baseline_none_pct,total_epochs,total_steps,paths
CIFAR-100,SGD,baseline_none,Baseline,3,1.8599916772661447,0.07398167191981819,5.165785311187184,0.044922349110306466,0.014271035886952516,0.0005676343114052556,70.14732565938881,2.8410405763052964,1.0620771557636361,0.04301524350825414,0.0,20,7820,results/compute_overhead/cifar_clean_sgd_baseline_none_seed0.json;results/compute_overhead/cifar_clean_sgd_baseline_none_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_baseline_none_seed0_run3.json
CIFAR-100,SGD,baseline_cosine,Cosine,3,1.7475352665503225,0.01822123472781835,5.164606031912722,0.03921585263295962,0.013408198976089431,0.00013980487003441294,74.58665020466624,0.7794582393298216,1.1292914813596526,0.011801516053280121,-0.02282865437531756,20,7820,results/compute_overhead/cifar_clean_sgd_baseline_cosine_seed0.json;results/compute_overhead/cifar_clean_sgd_baseline_cosine_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_baseline_cosine_seed0_run3.json
CIFAR-100,SGD,aees_lr_only_none,\method{}-LR,3,1.7387176770115427,0.029518566855594525,5.140045929897225,0.029637345530711443,0.013340544836405697,0.00022648516768998325,74.9737879872214,1.2662202140148637,1.1351530048193113,0.019171416028051228,-0.4982665701227962,20,7820,results/compute_overhead/cifar_clean_sgd_aees_lr_only_none_seed0.json;results/compute_overhead/cifar_clean_sgd_aees_lr_only_none_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_aees_lr_only_none_seed0_run3.json
CIFAR-100,SGD,aees_noise_only_none,\method{}-Noise,3,1.8116407587894678,0.011271181739017882,5.3431909386530165,0.025684235759851508,0.013900056972809216,8.647965528658153e-05,71.94400366082706,0.44663411595009606,1.089280055427356,0.006762337510037279,3.434243135920445,20,7820,results/compute_overhead/cifar_clean_sgd_aees_noise_only_none_seed0.json;results/compute_overhead/cifar_clean_sgd_aees_noise_only_none_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_aees_noise_only_none_seed0_run3.json
CIFAR-100,SGD,aees_both_none,\method{}-Dual,3,1.8159271885831711,0.01621124624021514,5.373465351301874,0.07372716967663773,0.013932945180945048,0.00012438296347991228,71.7761605960162,0.6429091366317355,1.0867387998169205,0.009734071838516229,4.020299482150991,20,7820,results/compute_overhead/cifar_clean_sgd_aees_both_none_seed0.json;results/compute_overhead/cifar_clean_sgd_aees_both_none_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_aees_both_none_seed0_run3.json
CIFAR-100,SGD,aees_lr_only_cosine,Cosine + \method{}-LR,3,1.7368455795445092,0.03044624376636025,5.138415224446809,0.02031473946159736,0.013326180917221297,0.00023360289334803215,75.05547562988488,1.3025121598579679,1.136389810048385,0.019720900220867334,-0.5298339960257636,20,7820,results/compute_overhead/cifar_clean_sgd_aees_lr_only_cosine_seed0.json;results/compute_overhead/cifar_clean_sgd_aees_lr_only_cosine_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_aees_lr_only_cosine_seed0_run3.json
CIFAR-100,SGD,aees_noise_only_cosine,Cosine + \method{}-Noise,3,1.8042287868606055,0.019212475610372492,5.341755528330778,0.07207691162431544,0.013843187622971398,0.0001474102988008117,72.24319228351347,0.7740159468292664,1.0938099701237844,0.011719116125906067,3.4064562606290982,20,7820,results/compute_overhead/cifar_clean_sgd_aees_noise_only_cosine_seed0.json;results/compute_overhead/cifar_clean_sgd_aees_noise_only_cosine_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_aees_noise_only_cosine_seed0_run3.json
CIFAR-100,SGD,aees_both_cosine,Cosine + \method{}-Dual,3,1.7807251677615568,0.024347690383481703,5.271699015836419,0.013823665516539026,0.013662852949577163,0.00018681092365842807,73.20021447138465,0.9937875812188515,1.108299922431195,0.015046604810270077,2.050292419622335,20,7820,results/compute_overhead/cifar_clean_sgd_aees_both_cosine_seed0.json;results/compute_overhead/cifar_clean_sgd_aees_both_cosine_seed0_run2.json;results/compute_overhead/cifar_clean_sgd_aees_both_cosine_seed0_run3.json
CIFAR-100,AdamW,baseline_none,Baseline,3,1.552459545788588,0.030523100346645498,4.58313091528365,0.020017757012071376,0.011911454315513463,0.00023419258577988929,83.97420775021222,1.6328867673505256,1.27142534496485,0.024722991464744593,0.0,20,7820,results/compute_overhead/cifar_clean_adamw_baseline_none_seed0.json;results/compute_overhead/cifar_clean_adamw_baseline_none_seed0_run2.json;results/compute_overhead/cifar_clean_adamw_baseline_none_seed0_run3.json
CIFAR-100,AdamW,baseline_cosine,Cosine,3,1.5604958594275458,0.03538371944856892,4.606254837982226,0.07558471531514009,0.011973114010953035,0.0002714863384800691,83.54935057429927,1.911236591941214,1.2649927248078048,0.02893739290100253,0.5045442324473459,20,7820,results/compute_overhead/cifar_clean_adamw_baseline_cosine_seed0.json;results/compute_overhead/cifar_clean_adamw_baseline_cosine_seed0_run2.json;results/compute_overhead/cifar_clean_adamw_baseline_cosine_seed0_run3.json
CIFAR-100,AdamW,aees_lr_only_none,\method{}-LR,3,1.7887856538287856,0.011392231086958346,5.292207991038531,0.044164563375736016,0.013724698111218304,8.740842266208427e-05,72.86331538417711,0.46346549004234394,1.103199046225904,0.00701717570601204,15.471455842342996,20,7820,results/compute_overhead/cifar_clean_adamw_aees_lr_only_none_seed0.json;results/compute_overhead/cifar_clean_adamw_aees_lr_only_none_seed0_run2.json;results/compute_overhead/cifar_clean_adamw_aees_lr_only_none_seed0_run3.json
CIFAR-100,AdamW,aees_noise_only_none,\method{}-Noise,3,1.8172508933283906,0.03297424698972001,5.377107630322459,0.027874340781487743,0.013943101483338036,0.00025299933751703256,71.73564782154725,1.2890492625766052,1.0861254094720199,0.01951706300371739,17.32389341947631,20,7820,results/compute_overhead/cifar_clean_adamw_aees_noise_only_none_seed0.json;results/compute_overhead/cifar_clean_adamw_aees_noise_only_none_seed0_run2.json;results/compute_overhead/cifar_clean_adamw_aees_noise_only_none_seed0_run3.json
